reads_in_population	population_count
1	270385
2	147277
3	128932
4	118286
5	108146
6	96998
7	87790
8	77357
9	68551
10	60062
11	52421
12	45586
13	39491
14	34442
15	29386
16	25221
17	21552
18	18579
19	15657
20	13362
21	11245
22	9569
23	8036
24	6726
25	5965
26	4870
27	4206
28	3600
29	3030
30	2570
31	2284
32	1845
33	1529
34	1307
35	1158
36	941
37	773
38	714
39	544
40	481
41	440
42	335
43	331
44	261
45	235
46	192
47	167
48	143
49	105
50	102
51	85
52	70
53	68
54	57
55	47
56	49
57	34
58	26
59	20
60	19
61	19
62	16
63	11
64	9
65	7
66	9
67	9
68	3
69	4
70	2
71	4
72	7
73	3
74	4
75	2
76	1
77	2
78	1
79	0
80	0
81	1
82	0
83	0
84	0
85	0
86	0
87	3
88	0
89	1
90	2
91	0
92	1
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	1